WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Winner,Loser,WRank,LRank,Wsets,Lsets,Comment,PSW,PSL
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,1st Round,Van Uytvanck A.,Hsieh S.W.,65,68,2.0,0.0,Completed,2.35,1.66
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,1st Round,Pavlyuchenkova A.,Doi M.,39,84,2.0,0.0,Completed,1.25,4.4
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Rogers S.,Peterson R.,60,55,2.0,1.0,Completed,1.61,2.44
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Vondrousova M.,Gracheva V.,21,95,2.0,0.0,Completed,1.33,3.64
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Williams S.,Gavrilova D.,11,452,2.0,0.0,Completed,1.24,4.54
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Pliskova Ka.,Cocciaretto E.,6,132,2.0,0.0,Completed,1.27,4.17
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Pironkova T.,Vekic D.,137,32,2.0,1.0,Completed,1.47,2.88
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Martic P.,Lapko V.,18,299,2.0,1.0,Completed,1.22,4.85
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Collins D.,Stojanovic N.,46,100,2.0,0.0,Completed,1.28,4.0
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,1st Round,Zvonareva V.,Pliskova Kr.,156,70,2.0,1.0,Completed,1.59,2.51
4,Melbourne,Yarra Valley Classic,2021-02-01,WTA500,Outdoor,Hard,1st Round,Podoroska N.,Jones F.,47,245,2.0,0.0,Completed,1.46,2.89
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,1st Round,Cornet A.,Tomljanovic A.,53,69,2.0,1.0,Completed,1.93,1.96
4,Melbourne,Yarra Valley Classic,2021-02-02,WTA500,Outdoor,Hard,3rd Round,Rogers S.,Martic P.,60,18,2.0,0.0,Completed,1.76,2.19
4,Melbourne,Yarra Valley Classic,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Zvonareva V.,Dolehide C.,156,152,2.0,0.0,Completed,,
4,Melbourne,Yarra Valley Classic,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Kvitova P.,Williams V.,9,80,2.0,0.0,Completed,1.25,4.33
4,Melbourne,Yarra Valley Classic,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Kenin S.,Giorgi C.,4,76,1.0,0.0,Retired,1.34,3.53
4,Melbourne,Yarra Valley Classic,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Podoroska N.,Minnen G.,47,110,2.0,0.0,Completed,1.52,2.71
4,Melbourne,Yarra Valley Classic,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Pegula J.,Barthel M.,64,233,2.0,0.0,Completed,1.21,4.89
4,Melbourne,Yarra Valley Classic,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Pavlyuchenkova A.,Sevastova A.,39,54,2.0,0.0,Completed,1.44,2.97
4,Melbourne,Yarra Valley Classic,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Bouzkova M.,Bolsova A.,52,103,2.0,1.0,Completed,1.26,4.27
4,Melbourne,Yarra Valley Classic,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Barty A.,Bogdan A.,1,93,2.0,0.0,Completed,1.12,7.27
4,Melbourne,Yarra Valley Classic,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Muguruza G.,Van Uytvanck A.,15,65,2.0,0.0,Completed,1.28,4.0
3,Melbourne,Gippsland Trophy,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Konta J.,Pera B.,14,63,2.0,0.0,Completed,1.61,2.46
3,Melbourne,Gippsland Trophy,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Swiatek I.,Juvan K.,17,104,2.0,1.0,Completed,1.32,3.68
3,Melbourne,Gippsland Trophy,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Garcia C.,Babos T.,44,115,2.0,0.0,Completed,1.52,2.7
3,Melbourne,Gippsland Trophy,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Boulter K.,Gauff C.,371,48,2.0,1.0,Completed,4.91,1.21
2,Melbourne,Grampians Trophy,2021-02-02,WTA500,Outdoor,Hard,1st Round,Kostyuk M.,Dabrowski G.,78,493,2.0,0.0,Completed,1.07,10.87
2,Melbourne,Grampians Trophy,2021-02-02,WTA500,Outdoor,Hard,1st Round,Mattek-Sands B.,Strycova B.,339,38,2.0,0.0,Completed,2.74,1.51
3,Melbourne,Gippsland Trophy,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Kanepi K.,Sabalenka A.,94,7,2.0,1.0,Completed,5.41,1.18
3,Melbourne,Gippsland Trophy,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Kasatkina D.,Hercog P.,71,49,2.0,0.0,Completed,1.43,3.03
3,Melbourne,Gippsland Trophy,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Begu I.,Sasnovich A.,79,90,2.0,1.0,Completed,2.45,1.61
3,Melbourne,Gippsland Trophy,2021-02-02,WTA500,Outdoor,Hard,3rd Round,Mertens E.,Garcia C.,20,44,2.0,0.0,Completed,1.42,3.14
3,Melbourne,Gippsland Trophy,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Osaka N.,Cornet A.,3,53,2.0,0.0,Completed,1.21,4.95
3,Melbourne,Gippsland Trophy,2021-02-02,WTA500,Outdoor,Hard,2nd Round,Siegemund L.,Aiava D.,51,218,2.0,0.0,Completed,1.31,3.79
2,Melbourne,Grampians Trophy,2021-02-03,WTA500,Outdoor,Hard,1st Round,Kerber A.,Siniakova K.,25,59,2.0,1.0,Completed,1.88,2.01
2,Melbourne,Grampians Trophy,2021-02-03,WTA500,Outdoor,Hard,1st Round,Kudermetova V.,Watson H.,36,58,2.0,0.0,Completed,1.41,3.12
2,Melbourne,Grampians Trophy,2021-02-03,WTA500,Outdoor,Hard,1st Round,Krejcikova B.,Davis L.,66,75,2.0,1.0,Completed,1.31,3.77
2,Melbourne,Grampians Trophy,2021-02-03,WTA500,Outdoor,Hard,1st Round,Brady J.,Kuznetsova S.,24,37,2.0,0.0,Completed,1.49,2.8
2,Melbourne,Grampians Trophy,2021-02-03,WTA500,Outdoor,Hard,1st Round,Li A.,Perez E.,99,237,0.0,0.0,Retired,1.4,3.16
3,Melbourne,Gippsland Trophy,2021-02-03,WTA500,Outdoor,Hard,3rd Round,Halep S.,Siegemund L.,2,51,2.0,0.0,Completed,1.17,5.82
2,Melbourne,Grampians Trophy,2021-02-03,WTA500,Outdoor,Hard,1st Round,Cirstea S.,Kalashnikova O.,72,0,2.0,0.0,Completed,1.01,23.98
2,Melbourne,Grampians Trophy,2021-02-03,WTA500,Outdoor,Hard,1st Round,Kontaveit A.,Mchale C.,23,82,2.0,0.0,Completed,1.33,3.63
